"Comunidad Autónoma","Universidad","Curso","Sexo","Forma de admisión","Rama de enseñanza","Nota media"
"Galicia","A Coruña","2021-2022","Mujeres","FP","Ciencias de la Salud","10"
"Galicia","A Coruña","2020-2021","Mujeres","FP","Ciencias de la Salud","10.01"
"Galicia","A Coruña","2019-2020","Mujeres","FP","Ciencias de la Salud","8.89"
"Galicia","A Coruña","2018-2019","Mujeres","FP","Ciencias de la Salud","9.22"
"Galicia","A Coruña","2017-2018","Mujeres","FP","Ciencias de la Salud","8.95"
"Galicia","A Coruña","2016-2017","Mujeres","FP","Ciencias de la Salud","9.12"
"Galicia","A Coruña","2015-2016","Mujeres","FP","Ciencias de la Salud","8.99"
"Galicia","A Coruña","2022-2023","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2021-2022","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2020-2021","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2019-2020","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2018-2019","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2017-2018","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2016-2017","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2015-2016","Hombres","FP","Ciencias",NA
"Galicia","A Coruña","2022-2023","Mujeres","FP","Ciencias",NA
"Galicia","A Coruña","2021-2022","Mujeres","FP","Ciencias",NA
"Galicia","A Coruña","2020-2021","Mujeres","FP","Ciencias",NA
"Galicia","A Coruña","2019-2020","Mujeres","FP","Ciencias",NA
"Galicia","A Coruña","2018-2019","Mujeres","FP","Ciencias",NA
"Galicia","A Coruña","2017-2018","Mujeres","FP","Ciencias",NA
"Galicia","A Coruña","2016-2017","Mujeres","FP","Ciencias",NA
"Galicia","A Coruña","2015-2016","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2022-2023","Hombres","PAU","Ciencias Sociales y Jurídicas","9.73"
"Madrid","Alcalá","2021-2022","Hombres","PAU","Ciencias Sociales y Jurídicas","9.85"
"Madrid","Alcalá","2020-2021","Hombres","PAU","Ciencias Sociales y Jurídicas","9.13"
"Madrid","Alcalá","2019-2020","Hombres","PAU","Ciencias Sociales y Jurídicas","8.67"
"Madrid","Alcalá","2018-2019","Hombres","PAU","Ciencias Sociales y Jurídicas","8.55"
"Madrid","Alcalá","2017-2018","Hombres","PAU","Ciencias Sociales y Jurídicas","8.15"
"Madrid","Alcalá","2016-2017","Hombres","PAU","Ciencias Sociales y Jurídicas","7.6"
"Madrid","Alcalá","2015-2016","Hombres","PAU","Ciencias Sociales y Jurídicas","7.65"
"Madrid","Alcalá","2022-2023","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.71"
"Madrid","Alcalá","2021-2022","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.76"
"Madrid","Alcalá","2020-2021","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.28"
"Madrid","Alcalá","2019-2020","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.9"
"Madrid","Alcalá","2018-2019","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.82"
"Madrid","Alcalá","2017-2018","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.44"
"Madrid","Alcalá","2016-2017","Mujeres","PAU","Ciencias Sociales y Jurídicas","7.65"
"Madrid","Alcalá","2015-2016","Mujeres","PAU","Ciencias Sociales y Jurídicas","7.81"
"Madrid","Alcalá","2022-2023","Hombres","PAU","Ingeniería y Arquitectura","9.94"
"Madrid","Alcalá","2021-2022","Hombres","PAU","Ingeniería y Arquitectura","9.29"
"Madrid","Alcalá","2020-2021","Hombres","PAU","Ingeniería y Arquitectura","9.25"
"Madrid","Alcalá","2019-2020","Hombres","PAU","Ingeniería y Arquitectura","8.16"
"Madrid","Alcalá","2018-2019","Hombres","PAU","Ingeniería y Arquitectura","7.94"
"Madrid","Alcalá","2017-2018","Hombres","PAU","Ingeniería y Arquitectura","7.79"
"Madrid","Alcalá","2016-2017","Hombres","PAU","Ingeniería y Arquitectura","7.43"
"Madrid","Alcalá","2015-2016","Hombres","PAU","Ingeniería y Arquitectura","7.54"
"Madrid","Alcalá","2022-2023","Mujeres","PAU","Ingeniería y Arquitectura","9.92"
"Madrid","Alcalá","2021-2022","Mujeres","PAU","Ingeniería y Arquitectura","9.69"
"Madrid","Alcalá","2020-2021","Mujeres","PAU","Ingeniería y Arquitectura","9.59"
"Madrid","Alcalá","2019-2020","Mujeres","PAU","Ingeniería y Arquitectura","8.58"
"Madrid","Alcalá","2018-2019","Mujeres","PAU","Ingeniería y Arquitectura","8.42"
"Madrid","Alcalá","2017-2018","Mujeres","PAU","Ingeniería y Arquitectura","8.26"
"Madrid","Alcalá","2016-2017","Mujeres","PAU","Ingeniería y Arquitectura","7.9"
"Madrid","Alcalá","2015-2016","Mujeres","PAU","Ingeniería y Arquitectura","8.05"
"Madrid","Alcalá","2022-2023","Hombres","PAU","Artes y Humanidades","9.12"
"Madrid","Alcalá","2021-2022","Hombres","PAU","Artes y Humanidades","8.97"
"Madrid","Alcalá","2020-2021","Hombres","PAU","Artes y Humanidades","8.77"
"Madrid","Alcalá","2019-2020","Hombres","PAU","Artes y Humanidades","8.43"
"Madrid","Alcalá","2018-2019","Hombres","PAU","Artes y Humanidades","8.48"
"Madrid","Alcalá","2017-2018","Hombres","PAU","Artes y Humanidades","8.27"
"Madrid","Alcalá","2016-2017","Hombres","PAU","Artes y Humanidades","8.07"
"Madrid","Alcalá","2015-2016","Hombres","PAU","Artes y Humanidades","7.91"
"Madrid","Alcalá","2022-2023","Mujeres","PAU","Artes y Humanidades","10.1"
"Madrid","Alcalá","2021-2022","Mujeres","PAU","Artes y Humanidades","10.1"
"Madrid","Alcalá","2020-2021","Mujeres","PAU","Artes y Humanidades","9.84"
"Madrid","Alcalá","2019-2020","Mujeres","PAU","Artes y Humanidades","9.49"
"Madrid","Alcalá","2018-2019","Mujeres","PAU","Artes y Humanidades","9.37"
"Madrid","Alcalá","2017-2018","Mujeres","PAU","Artes y Humanidades","9.74"
"Madrid","Alcalá","2016-2017","Mujeres","PAU","Artes y Humanidades","8.85"
"Madrid","Alcalá","2015-2016","Mujeres","PAU","Artes y Humanidades","8.89"
"Madrid","Alcalá","2022-2023","Hombres","PAU","Ciencias de la Salud","11.52"
"Madrid","Alcalá","2021-2022","Hombres","PAU","Ciencias de la Salud","11.34"
"Madrid","Alcalá","2020-2021","Hombres","PAU","Ciencias de la Salud","11.26"
"Madrid","Alcalá","2019-2020","Hombres","PAU","Ciencias de la Salud","10.95"
"Madrid","Alcalá","2018-2019","Hombres","PAU","Ciencias de la Salud","11.12"
"Madrid","Alcalá","2017-2018","Hombres","PAU","Ciencias de la Salud","10.77"
"Madrid","Alcalá","2016-2017","Hombres","PAU","Ciencias de la Salud","10.49"
"Madrid","Alcalá","2015-2016","Hombres","PAU","Ciencias de la Salud","10.62"
"Madrid","Alcalá","2022-2023","Mujeres","PAU","Ciencias de la Salud","11.79"
"Madrid","Alcalá","2021-2022","Mujeres","PAU","Ciencias de la Salud","11.64"
"Madrid","Alcalá","2020-2021","Mujeres","PAU","Ciencias de la Salud","11.62"
"Madrid","Alcalá","2019-2020","Mujeres","PAU","Ciencias de la Salud","11.22"
"Madrid","Alcalá","2018-2019","Mujeres","PAU","Ciencias de la Salud","10.95"
"Madrid","Alcalá","2017-2018","Mujeres","PAU","Ciencias de la Salud","10.84"
"Madrid","Alcalá","2016-2017","Mujeres","PAU","Ciencias de la Salud","10.73"
"Madrid","Alcalá","2015-2016","Mujeres","PAU","Ciencias de la Salud","10.79"
"Madrid","Alcalá","2022-2023","Hombres","PAU","Ciencias","11.25"
"Madrid","Alcalá","2021-2022","Hombres","PAU","Ciencias","10.93"
"Madrid","Alcalá","2020-2021","Hombres","PAU","Ciencias","10.2"
"Madrid","Alcalá","2019-2020","Hombres","PAU","Ciencias","9.62"
"Madrid","Alcalá","2018-2019","Hombres","PAU","Ciencias","8.9"
"Madrid","Alcalá","2017-2018","Hombres","PAU","Ciencias","9.18"
"Madrid","Alcalá","2016-2017","Hombres","PAU","Ciencias","8.74"
"Madrid","Alcalá","2015-2016","Hombres","PAU","Ciencias","8.98"
"Madrid","Alcalá","2022-2023","Mujeres","PAU","Ciencias","11.39"
"Madrid","Alcalá","2021-2022","Mujeres","PAU","Ciencias","11.41"
"Madrid","Alcalá","2020-2021","Mujeres","PAU","Ciencias","10.75"
"Madrid","Alcalá","2019-2020","Mujeres","PAU","Ciencias","10.24"
"Madrid","Alcalá","2018-2019","Mujeres","PAU","Ciencias","9.93"
"Madrid","Alcalá","2017-2018","Mujeres","PAU","Ciencias","9.59"
"Madrid","Alcalá","2016-2017","Mujeres","PAU","Ciencias","8.89"
"Madrid","Alcalá","2015-2016","Mujeres","PAU","Ciencias","8.8"
"Madrid","Alcalá","2022-2023","Hombres","FP","Ciencias Sociales y Jurídicas","8.97"
"Madrid","Alcalá","2021-2022","Hombres","FP","Ciencias Sociales y Jurídicas","8.62"
"Madrid","Alcalá","2020-2021","Hombres","FP","Ciencias Sociales y Jurídicas","8.06"
"Madrid","Alcalá","2019-2020","Hombres","FP","Ciencias Sociales y Jurídicas","7.68"
"Madrid","Alcalá","2018-2019","Hombres","FP","Ciencias Sociales y Jurídicas","7.19"
"Madrid","Alcalá","2017-2018","Hombres","FP","Ciencias Sociales y Jurídicas","7.48"
"Madrid","Alcalá","2016-2017","Hombres","FP","Ciencias Sociales y Jurídicas","6.98"
"Madrid","Alcalá","2015-2016","Hombres","FP","Ciencias Sociales y Jurídicas","7.3"
"Madrid","Alcalá","2022-2023","Mujeres","FP","Ciencias Sociales y Jurídicas","8.55"
"Madrid","Alcalá","2021-2022","Mujeres","FP","Ciencias Sociales y Jurídicas","8.45"
"Madrid","Alcalá","2020-2021","Mujeres","FP","Ciencias Sociales y Jurídicas","8.06"
"Madrid","Alcalá","2019-2020","Mujeres","FP","Ciencias Sociales y Jurídicas","7.81"
"Madrid","Alcalá","2018-2019","Mujeres","FP","Ciencias Sociales y Jurídicas","7.33"
"Madrid","Alcalá","2017-2018","Mujeres","FP","Ciencias Sociales y Jurídicas","7.37"
"Madrid","Alcalá","2016-2017","Mujeres","FP","Ciencias Sociales y Jurídicas","7.13"
"Madrid","Alcalá","2015-2016","Mujeres","FP","Ciencias Sociales y Jurídicas","7.12"
"Madrid","Alcalá","2022-2023","Hombres","FP","Ingeniería y Arquitectura","9"
"Madrid","Alcalá","2021-2022","Hombres","FP","Ingeniería y Arquitectura","7.75"
"Madrid","Alcalá","2020-2021","Hombres","FP","Ingeniería y Arquitectura","7.49"
"Madrid","Alcalá","2019-2020","Hombres","FP","Ingeniería y Arquitectura","7.09"
"Madrid","Alcalá","2018-2019","Hombres","FP","Ingeniería y Arquitectura","6.89"
"Madrid","Alcalá","2017-2018","Hombres","FP","Ingeniería y Arquitectura","6.64"
"Madrid","Alcalá","2016-2017","Hombres","FP","Ingeniería y Arquitectura","6.8"
"Madrid","Alcalá","2015-2016","Hombres","FP","Ingeniería y Arquitectura","6.91"
"Madrid","Alcalá","2022-2023","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2021-2022","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2020-2021","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2019-2020","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2018-2019","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2017-2018","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2016-2017","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2015-2016","Mujeres","FP","Ingeniería y Arquitectura",NA
"Madrid","Alcalá","2022-2023","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2021-2022","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2020-2021","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2019-2020","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2018-2019","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2017-2018","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2016-2017","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2015-2016","Hombres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2022-2023","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2021-2022","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2020-2021","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2019-2020","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2018-2019","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2017-2018","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2016-2017","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2015-2016","Mujeres","FP","Artes y Humanidades",NA
"Madrid","Alcalá","2022-2023","Hombres","FP","Ciencias de la Salud","11.75"
"Madrid","Alcalá","2021-2022","Hombres","FP","Ciencias de la Salud","10.27"
"Madrid","Alcalá","2020-2021","Hombres","FP","Ciencias de la Salud","10.33"
"Madrid","Alcalá","2019-2020","Hombres","FP","Ciencias de la Salud","10.16"
"Madrid","Alcalá","2018-2019","Hombres","FP","Ciencias de la Salud","10.13"
"Madrid","Alcalá","2017-2018","Hombres","FP","Ciencias de la Salud","9.55"
"Madrid","Alcalá","2016-2017","Hombres","FP","Ciencias de la Salud","9.78"
"Madrid","Alcalá","2015-2016","Hombres","FP","Ciencias de la Salud",NA
"Madrid","Alcalá","2022-2023","Mujeres","FP","Ciencias de la Salud","11.86"
"Madrid","Alcalá","2021-2022","Mujeres","FP","Ciencias de la Salud","10.24"
"Madrid","Alcalá","2020-2021","Mujeres","FP","Ciencias de la Salud","10.27"
"Madrid","Alcalá","2019-2020","Mujeres","FP","Ciencias de la Salud","9.84"
"Madrid","Alcalá","2018-2019","Mujeres","FP","Ciencias de la Salud","9.9"
"Madrid","Alcalá","2017-2018","Mujeres","FP","Ciencias de la Salud","9.41"
"Madrid","Alcalá","2016-2017","Mujeres","FP","Ciencias de la Salud","10.02"
"Madrid","Alcalá","2015-2016","Mujeres","FP","Ciencias de la Salud","9.61"
"Madrid","Alcalá","2022-2023","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2021-2022","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2020-2021","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2019-2020","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2018-2019","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2017-2018","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2016-2017","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2015-2016","Hombres","FP","Ciencias",NA
"Madrid","Alcalá","2022-2023","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2021-2022","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2020-2021","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2019-2020","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2018-2019","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2017-2018","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2016-2017","Mujeres","FP","Ciencias",NA
"Madrid","Alcalá","2015-2016","Mujeres","FP","Ciencias",NA
"Valencia","Alicante","2022-2023","Hombres","PAU","Ciencias Sociales y Jurídicas","9.3"
"Valencia","Alicante","2021-2022","Hombres","PAU","Ciencias Sociales y Jurídicas","9.51"
